Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Gives_Dividends
PFE,Pfizer Inc.,Health Care,3.5447203584143305,2.6166656393003573,3.8879359,3.51,31.67,39.43,26.063231457927944,23.747050924991054,1.6098555252217404,1.4816045409242156,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE,Yes
PCG,PG&E Corp.,Utilities,3.6696966346971625,2.277267285009756,0.0,2.78,38.45,71.57,23.734350279673084,22.590596493176076,0.9450975621352367,0.7371640659767197,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCG,No
PM,Philip Morris International,Consumer Staples,4.618974466964488,3.151025157960026,4.328479,4.48,96.66,123.55,25.75749181513277,23.19153484566612,1.32374545937632,7.185159717022784,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PM,Yes
PSX,Phillips 66,Energy,4.537319519079917,3.096029994869355,2.928564,9.93,75.135,107.47,24.594388094774192,22.39304597857496,0.3886544101243592,1.1378330018213911,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSX,Yes
PNW,Pinnacle West Capital,Utilities,4.322011202263895,2.836736542063533,3.698776,3.95,73.81,92.48,22.851212965402613,21.202228588757677,1.3845730555230535,0.9745596399981308,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNW,Yes
PXD,Pioneer Natural Resources,Energy,5.136739170891982,4.781557503293855,0.1816118,-3.39,125.46,199.83,24.123900383379866,21.263844419444162,2.052718605940115,1.324418957401803,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PXD,Yes
PNC,PNC Financial Services,Financials,5.01316542394988,2.920469789053444,1.9354838,10.4,115.25,160.07,25.018031063389092,0.0,1.6187008783932657,0.9282193027394289,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC,Yes
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,4.628105157270587,2.930660276810276,1.8570102,-1.19,66.06,119.33,22.89271151511117,20.0422448381602,0.8733313714806258,1.235471471385307,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RL,Yes
PPG,PPG Industries,Materials,4.712229258281499,2.982140320034524,1.5771489,6.31,99.57,122.0697,24.092054949706842,21.67299134529365,1.083534217061448,1.763017000362401,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPG,Yes
PPL,PPL Corp.,Utilities,3.4183822064162563,2.626840145676667,5.2196894,2.79,29.205,40.2,23.760131169243166,22.093684849162013,1.5580825740165958,1.0818051703517284,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPL,Yes
PX,Praxair Inc.,Materials,4.977216384550811,3.24376354037598,2.1998534,4.32,115.53,166.95,24.483271383705596,22.013049297960787,1.5867658321927263,2.064327903869788,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PX,Yes
PCLN,Priceline.com Inc,Consumer Discretionary,7.499456494246847,3.229222116922345,0.0,42.66,1589.0,2067.99,25.243068191282177,22.292607949658642,2.320087429590186,2.0693912058263346,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCLN,No
PFG,Principal Financial Group,Financials,4.1170840491915905,2.561867690924129,3.1914895,4.5,58.9401,75.585,23.638720360148167,0.0,0.9994380061589856,0.9282193027394289,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFG,Yes
PG,Procter & Gamble,Consumer Staples,4.397161522258152,3.0661907372025525,3.3704789,5.6,80.1,94.67,26.052689076850704,23.571020007786878,1.4253949709072053,1.5789787049493917,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG,Yes
PGR,Progressive Corp.,Financials,3.952588967174808,3.080073421987742,2.1061797,2.73,36.84,58.25,24.159276154879333,0.0,0.7635532663223638,1.4469189829363254,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PGR,Yes
PLD,Prologis,Real Estate,4.083115080270552,3.080073421987742,2.931379,3.06,48.69,67.53,24.187540923304418,21.811556372796087,2.733092216059099,1.1346227261911428,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PLD,Yes
PRU,Prudential Financial,Financials,4.6480380862152675,2.39698576841553,2.6985698,9.73,97.88,127.14,24.57630457446297,0.0,0.7341581172295084,0.6575200029167941,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRU,Yes
